case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270973,109860,140,Red,1000 RPM,73.18 CFM,18 dB,No
270974,109861,120,Green,600 - 1800 RPM,75.59 CFM,10 - 26.8 dB,Yes
270975,109862,120,Green,800 - 1500 RPM,32.5 - 82.6 CFM,12.6 - 26.5 dB,No
270976,109863,120,Clear,1700 RPM,63.85 CFM,29.67 dB,No
270977,109864,230,Black,900 RPM,97.8 CFM,20 dB,No
270978,109865,80,Blue / White,1200 - 3000 RPM,12 - 29.5 CFM,15.3 - 30 dB,Yes
270979,109866,120,Black,1000 RPM,43.5 CFM,20 dB,No
270980,109867,140,Black,1200 RPM,59.6 CFM,29.4 dB,No
270981,109868,80,White,800 - 1600 RPM,24.4 CFM,18.2 dB,No
270982,109869,120,Black,2000 RPM,72.94 CFM,30 dB,No
270983,109870,120,Black,1200 RPM,53.24 CFM,26.6 dB,No
270984,109871,120,Black / White,330 - 1600 RPM,59 CFM,10 - 25 dB,Yes
270985,109872,80,Blue,2000 RPM,28.1 CFM,10 - 21 dB,No
270986,109873,140,Green,1200 RPM,59.6 CFM,29.4 dB,No
270987,109874,200,Green,800 RPM,125 CFM,20 dB,No
270988,109875,92,Black,1800 RPM,38.25 CFM,20 dB,Yes
270989,109876,120,White,700 - 2200 RPM,77.9 CFM,36.8 dB,Yes
270990,109877,120,Black / White,600 - 2200 RPM,83 CFM,13 - 37 dB,Yes
270991,109878,120,Black / Red,800 - 2000 RPM,40.26 - 57.64 CFM,23.7 - 39.2 dB,Yes
270992,109879,120,Clear,1500 RPM,47 CFM,26.5 dB,No
270993,109880,120,Transparent,1000 - 1800 RPM,,20 - 32 dB,No
270994,109881,140,Black,1200 RPM,65.2 CFM,23.2 dB,No
270995,109882,140,Black / Gray,1150 RPM,64 CFM,26 dB,Yes
270996,109883,80,Black,2400 RPM,24.72 CFM,27.5 dB,No
270997,109884,120,Black,1500 RPM,57.67 CFM,24.7 dB,No
270998,109885,120,Black / Green,1000 RPM,33 CFM,19 dB,No
270999,109886,120,Black / Red,800 - 2200 RPM,34.02 - 93.74 CFM,15 - 38 dB,Yes
271000,109887,120,Black / Gray,1450 RPM,52 CFM,25.6 dB,Yes
271001,109888,200,Black / Blue,800 RPM,76 CFM,18 dB,No
271002,109889,120,Black,2000 RPM,45.47 CFM,37 dB,No
271003,109890,120,Black / Blue,1650 RPM,57.24 CFM,26.4 dB,No
271004,109891,140,Transparent,1200 RPM,48.7 CFM,23 dB,No
271005,109892,92,Black,2200 RPM,38.35 CFM,25 dB,No
271006,109893,120,Black,1000 - 1800 RPM,90.3 CFM,26 dB,No
271007,109894,80,Black,2000 RPM,,20 - 23 dB,No
271008,109895,140,Blue,800 - 1500 RPM,50 - 96.5 CFM,14.5 - 29.6 dB,No
271009,109896,80,Black,2500 RPM,32.11 CFM,26 dB,No
271010,109897,120,Clear,1200 RPM,58.47 CFM,25.15 dB,No
271011,109898,140,Red,1000 RPM,87 CFM,18.1 dB,No
271012,109899,140,Clear,1200 RPM,86.73 CFM,22.8 dB,No
271013,109900,80,Black,200 - 3000 RPM,23.4 CFM,,Yes
271014,109901,120,White,800 - 2400 RPM,110.03 CFM,17 - 39.5 dB,No
271015,109902,120,Black,800 RPM,40.17 CFM,10.7 dB,No
271016,109903,120,Yellow / Black,2000 RPM,106.7 CFM,36.6 dB,No
271017,109904,80,Clear,2600 RPM,34 CFM,30 dB,No
271018,109905,92,Clear,2600 RPM,42.4 CFM,33 dB,No
271019,109906,180,White,500 - 2000 RPM,60 - 170 CFM,17 - 34 dB,No
271020,109907,120,,800 - 1800 RPM,42.17 CFM,26.5 dB,Yes
271021,109908,40,Black,5000 RPM,6.24 CFM,21 dB,No
271022,109909,92,White,1200 - 3000 RPM,21.4 - 53.6 CFM,9.3 - 29.2 dB,No
271023,109910,120,Green,1700 RPM,,29.67 dB,No
271024,109911,140,Black,1000 RPM,47.7 CFM,20 dB,No
271025,109912,120,Red,1500 RPM,60 CFM,23.5 dB,No
271026,109913,80,White / Black,2000 RPM,31 CFM,,No
271027,109914,92,White / Black,1000 RPM,21.2 CFM,,No
271028,109915,140,Black,800 - 1200 RPM,33.6 CFM,21.8 - 26 dB,No
271029,109916,140,Green,1200 RPM,59.6 CFM,29.4 dB,No
271030,109917,40,Black,4700 RPM,5.5 CFM,12.8 dB,No
271031,109918,120,Clear,2000 RPM,59.8 CFM,36 dB,No
271032,109919,80,Clear,2600 RPM,34 CFM,30 dB,No
271033,109920,80,Black / Red,,,,No
271034,109921,120,Clear,2000 RPM,79 CFM,30 dB,No
271035,109922,120,Black / White,950 RPM,40 CFM,19 dB,No
271036,109923,140,Black / Yellow,500 - 800 RPM,20.3 - 32.4 CFM,9.8 - 20 dB,No
271037,109924,120,Black / White,1200 RPM,50.63 CFM,19.5 dB,No
271038,109925,120,Clear,1600 RPM,56 CFM,28 dB,No
271039,109926,120,Blue,1500 RPM,50.28 CFM,21.1 dB,No
271040,109927,92,White / Blue,1000 - 2500 RPM,19.8 - 44.2 CFM,15.3 - 24.8 dB,Yes
271041,109928,120,Clear,1200 RPM,59.1 CFM,26.8 dB,No
271042,109929,92,White,1800 RPM,32.6 - 54.4 CFM,17.8 dB,Yes
271043,109930,80,Black,200 - 3000 RPM,23.4 CFM,,No
271044,109931,92,Green,1200 RPM,,16 dB,No
271045,109932,120,Black / Orange,1500 RPM,50.28 CFM,21.1 dB,No
271046,109933,80,Black / Clear,2000 RPM,22.9 CFM,21.8 dB,No
271047,109934,140,White / Gray,600 - 1300 RPM,40.9 - 88.6 CFM,15.22 - 19 dB,No
271048,109935,200,Black / Red,800 RPM,129.63 CFM,28.2 dB,No
271049,109936,92,Black,1750 RPM,28 CFM,20 dB,No
271050,109937,120,Black,800 - 2200 RPM,33.2 - 78.41 CFM,17.2 - 39 dB,No
271051,109938,200,White,900 RPM,148.72 CFM,27.5 dB,No
271052,109939,80,Black / Clear,2000 RPM,,20 - 23 dB,No
271053,109940,80,Black,2500 RPM,29.07 CFM,26 dB,No
271054,109941,140,Black / Blue,1440 RPM,49.49 CFM,29.3 dB,No
271055,109942,120,Black,1200 RPM,41.8 CFM,24.8 dB,No
271056,109943,200,Transparent,700 RPM,103 CFM,20 dB,No
271057,109944,92,Transparent,1500 - 2800 RPM,,20 - 35 dB,No
271058,109945,140,Orange,600 - 1200 RPM,70.5 CFM,19.2 dB,Yes
271059,109946,120,Black,1200 RPM,39.7 CFM,24.7 dB,No
271060,109947,120,White,1300 RPM,65.16 CFM,26 dB,No
271061,109948,230,Black,900 RPM,97.8 CFM,20 dB,No
271062,109949,120,White,500 - 1800 RPM,20.42 - 75.98 CFM,14 - 25 dB,Yes
271063,109950,120,,800 - 1800 RPM,42.17 CFM,26.5 dB,Yes
271064,109951,140,Black / White,800 - 2000 RPM,54 - 98.3 CFM,21 - 37 dB,Yes
271065,109952,120,Black / Multicolor,1500 RPM,57.67 CFM,24.7 dB,No
271066,109953,120,Black,1500 RPM,57.67 CFM,24.7 dB,No
271067,109954,140,Black,1000 RPM,60.4 CFM,16.4 dB,Yes
271068,109955,120,Black,3000 RPM,107 CFM,42 dB,Yes
271069,109956,120,Black,1800 RPM,80.3 CFM,30.5 dB,No
271070,109957,80,Clear,1800 RPM,21.7 CFM,19 dB,No
271071,109958,140,White,2000 RPM,49.1 - 98.3 CFM,22.1 - 37 dB,No
271072,109959,120,Blue,1500 RPM,61 CFM,20 dB,No
271073,109960,200,Black,900 RPM,148.72 CFM,27.5 dB,No
271074,109961,80,Brown,300 - 1800 RPM,23.19 - 31.37 CFM,10.19 - 17.1 dB,No
271075,109962,140,Orange,600 - 2500 RPM,31.4 - 130 CFM,21 - 45 dB,Yes
271076,109963,120,Black,600 - 1200 RPM,21.3 - 42.6 CFM,17 - 23.7 dB,No
271077,109964,80,Black,5700 RPM,84.1 CFM,55.2 dB,No
271078,109965,80,Red,1700 RPM,32 CFM,15 dB,No
271079,109966,120,Gray,500 RPM,18.25 CFM,5 dB,No
271080,109967,120,Translucent Gray,750 RPM,34.13 CFM,8 dB,No
271081,109968,140,,1200 RPM,86.73 CFM,22.8 dB,No
271082,109969,120,Clear,1200 RPM,53.02 CFM,14 dB,No
271083,109970,80,Clear,2600 RPM,34 CFM,30 dB,No
271084,109971,120,Black,1200 RPM,45.2 CFM,18 dB,No
271085,109972,140,Clear,,55.4 CFM,21 dB,No
271086,109973,120,Clear,1000 RPM,44 CFM,17 dB,No
271087,109974,80,Green,1500 RPM,17.21 CFM,20 dB,No
271088,109975,120,Black / Green,650 - 1400 RPM,67.3 CFM,16.89 dB,Yes
271089,109976,140,Blue,1000 RPM,73.18 CFM,18 dB,No
271090,109977,92,Black,2600 RPM,48.43 CFM,33 dB,No
271091,109978,80,White,1700 RPM,32 CFM,15 dB,No
271092,109979,120,Black / White,1200 RPM,50.63 CFM,19.5 dB,No
271093,109980,120,Transparent,600 - 1600 RPM,24.85 - 63.91 CFM,15 - 25 dB,Yes
271094,109981,140,Black / Yellow,600 - 1600 RPM,110.61 CFM,12.5 - 26.01 dB,Yes
271095,109982,80,Black,2050 RPM,27 CFM,21 dB,No
271096,109983,140,Black,1200 - 2000 RPM,42.8 - 171 CFM,43.5 dB,No
271097,109984,120,Translucent Black,1800 RPM,51.3 CFM,22.5 dB,Yes
271098,109985,120,Black,700 - 2200 RPM,77.9 CFM,36.8 dB,Yes
271099,109986,140,Translucent Black,700 - 1800 RPM,56.1 CFM,24.2 dB,Yes
271100,109987,140,Translucent Black,700 - 1800 RPM,56.1 CFM,24.2 dB,Yes
271101,109988,140,Black,1200 RPM,86.73 CFM,22.8 dB,No
271102,109989,120,White,1400 RPM,50 CFM,14 dB,No
271103,109990,180,Black,700 - 1200 RPM,80 - 130 CFM,18 - 34 dB,No
271104,109991,80,Green,2000 RPM,25.64 CFM,22.05 dB,No
271105,109992,120,Clear,1500 RPM,35.36 CFM,22.4 dB,No
271106,109993,120,Blue,1500 RPM,48.3 CFM,24.6 dB,No
271107,109994,80,White,1600 RPM,20.72 CFM,18 dB,No
271108,109995,200,Transparent,700 RPM,103 CFM,20 dB,No
271109,109996,140,Black,1200 RPM,84.59 CFM,29.5 dB,No
271110,109997,120,Black,1000 RPM,43.5 CFM,20 dB,No
271111,109998,140,Black,1000 RPM,47.7 CFM,20 dB,No
271112,109999,120,Translucent Black,700 - 1800 RPM,51.3 CFM,22.5 dB,Yes
271113,110000,120,Clear,950 RPM,40 CFM,19 dB,No
271114,110001,120,Red / Black,950 RPM,40 CFM,19 dB,No
271115,110002,80,Red,2000 RPM,25.64 CFM,22.05 dB,No
271116,110003,120,Blue,1500 RPM,31.4 CFM,31.4 dB,No
271117,110004,80,UV Green,2000 RPM,25.64 CFM,22.05 dB,No
271118,110005,120,Gray,1150 RPM,37 CFM,16 dB,No
271119,110006,140,Translucent Black,1800 RPM,56.1 CFM,24.2 dB,Yes
271120,110007,140,White,300 - 1000 RPM,98 CFM,9 - 18 dB,Yes
271121,110008,80,White / Black,700 - 2000 RPM,,,Yes
271122,110009,120,Transparent,1800 RPM,35.7 CFM,25 dB,Yes
271123,110010,140,Black,1000 RPM,47.7 CFM,20 dB,No
271124,110011,120,Black / Blue,500 - 1800 RPM,58.39 - 76.52 CFM,17.6 - 31.8 dB,Yes
271125,110012,140,Black,1200 RPM,47.1 CFM,23.3 dB,No
271126,110013,92,Black,2850 RPM,48.7 CFM,37.6 dB,No
271127,110014,120,White,400 - 1300 RPM,56 CFM,7 - 13 dB,Yes
271128,110015,140,Black,1200 RPM,68.23 CFM,22.1 dB,No
271129,110016,92,Black / Yellow,1100 RPM,,11.5 dB,Yes
271130,110017,120,White,1000 - 2600 RPM,35.79 - 96 CFM,22 - 36.5 dB,No
271131,110018,230,White,900 RPM,156.27 CFM,25.6 dB,No
271132,110019,120,Black / White,1200 RPM,45 CFM,21 dB,No
271133,110020,140,Black / White,1000 RPM,50 CFM,21 dB,No
271134,110021,120,Black / Orange,1400 RPM,53.34 CFM,14 dB,No
271135,110022,80,Black,600 - 2500 RPM,8.2 - 30.6 CFM,6.2 - 25.8 dB,Yes
271136,110023,120,Black,900 - 1500 RPM,60.29 CFM,21.4 - 32.1 dB,Yes
271137,110024,140,White / Blue,600 - 1300 RPM,40.9 - 88.6 CFM,15.22 - 19 dB,No
271138,110025,92,Clear,2600 RPM,42.4 CFM,33 dB,No
271139,110026,80,Black,4000 RPM,,,Yes
271140,110027,120,Transparent,2000 RPM,79 CFM,29.8 dB,No
271141,110028,200,White,800 RPM,31.21 CFM,19.87 dB,No
271142,110029,140,White,750 - 1200 RPM,45.1 - 78.09 CFM,13.4 - 19 dB,No
271143,110030,80,Black,2500 RPM,32.4 CFM,28 dB,No
271144,110031,120,Black,2000 RPM,72.94 CFM,36 dB,No
271145,110032,120,Clear,1800 RPM,70.2 CFM,31.7 dB,No
271146,110033,120,White,800 - 1300 RPM,58.3 CFM,16 dB,No
271147,110034,140,Clear,1000 RPM,83.6 CFM,24.5 dB,No
271148,110035,140,Clear,1000 RPM,60.46 CFM,16 dB,No
271149,110036,120,Clear,1500 RPM,68.33 CFM,20 dB,No
271150,110037,120,Translucent Black,1800 RPM,51.3 CFM,22.5 dB,No
271151,110038,120,Clear,1200 RPM,56.22 CFM,18.89 dB,No
271152,110039,92,Clear,2200 RPM,38 CFM,27 dB,No
271153,110040,120,Clear,1200 RPM,58.47 CFM,25.15 dB,No
271154,110041,200,Red,800 RPM,125 CFM,20 dB,No
271155,110042,140,Red,750 - 1200 RPM,45.1 - 78.09 CFM,13.4 - 19 dB,No
271156,110043,140,Black / Red,1200 RPM,71.8 CFM,17.6 - 26.7 dB,Yes
271157,110044,140,Black,1700 RPM,90.05 CFM,33 - 3 dB,No
271158,110045,120,Black,2900 RPM,120.07 CFM,44 dB,No
271159,110046,92,Black / Silver,2200 RPM,38.4 CFM,25 dB,No
271160,110047,140,Black / Green,650 - 1400 RPM,76.5 CFM,16.89 dB,Yes
271161,110048,140,Black,1000 RPM,47.7 CFM,20 dB,No
271162,110049,140,Black,1000 RPM,47.7 CFM,20 dB,No
271163,110050,120,Clear,1400 RPM,74 CFM,15 dB,No
271164,110051,80,White / Blue,1200 - 2800 RPM,12 - 27.53 CFM,19 - 28.5 dB,Yes
271165,110052,140,Translucent Black,700 - 1800 RPM,56.1 CFM,24.2 dB,Yes
271166,110053,120,Black / Red,600 - 1400 RPM,38.73 CFM,25 dB,Yes
271167,110054,120,Red,2000 RPM,80 CFM,25 dB,No
271168,110055,140,Yellow / Black,300 - 1700 RPM,16.3 - 92.4 CFM,5.8 - 36.4 dB,Yes
271169,110056,140,Clear,,55.4 CFM,21 dB,No
271170,110057,120,Blue,1700 RPM,63.85 CFM,29.67 dB,No
271171,110058,120,Black,1800 RPM,75 CFM,20 dB,No
271172,110059,80,Clear,1800 RPM,21.71 CFM,20 dB,No
271173,110060,140,Black,1000 RPM,47.7 CFM,20 dB,No
271174,110061,92,Black,1800 RPM,32.6 - 54.4 CFM,16.9 dB,No
271175,110062,140,Black,1200 RPM,86.73 CFM,22.8 dB,No
271176,110063,120,Black,1600 RPM,62.1 CFM,31.8 dB,No
271177,110064,200,Black / Red,800 RPM,129.63 CFM,28.2 dB,No
271178,110065,120,Black,4000 RPM,150.33 CFM,56.4 dB,Yes
271179,110066,80,White,900 - 2000 RPM,27 CFM,10 - 21.5 dB,No
271180,110067,120,Red,1500 RPM,57.67 CFM,24.7 dB,No
271181,110068,200,Black,700 RPM,47.4 CFM,20 dB,No
271182,110069,92,Clear,2400 RPM,45.18 CFM,28.6 dB,No
271183,110070,80,Yellow,1400 RPM,25 CFM,12 dB,No
271184,110071,140,White,1200 RPM,86.73 CFM,22.8 dB,No
271185,110072,92,Black,2200 RPM,39.35 CFM,26 dB,No
271186,110073,120,White / Blue,800 - 1500 RPM,37.79 - 63.8 CFM,15.9 - 24.9 dB,Yes
271187,110074,120,Black,500 RPM,4.5 CFM,7.5 dB,No
271188,110075,120,Transparent,950 RPM,40 CFM,19 dB,No
271189,110076,120,Blue,600 - 1000 RPM,21.2 - 35.3 CFM,8.9 - 19.89 dB,No
271190,110077,120,Black / Pink,1500 RPM,57.67 CFM,24.7 dB,No
271191,110078,92,Black,1000 - 3000 RPM,,35 dB,Yes
271192,110079,120,Black / Red,1000 - 1800 RPM,47.67 - 83.03 CFM,13 - 20 dB,No
271193,110080,140,Black / Green,1100 - 1800 RPM,64.8 - 98.3 CFM,12.3 - 20.8 dB,No
271194,110081,120,Black,2600 RPM,88 CFM,48 dB,No
271195,110082,120,Red,1500 RPM,69.15 CFM,18 dB,No
271196,110083,120,Blue,1500 RPM,75.3 CFM,24 dB,No
271197,110084,80,White,1500 RPM,20.2 CFM,17.6 dB,No
271198,110085,80,Clear,1700 RPM,32 CFM,15 dB,No
271199,110086,80,Clear,1500 RPM,16.85 CFM,16.6 dB,No
271200,110087,120,Black,2300 RPM,79.9 CFM,38 dB,No
271201,110088,92,Brown,1000 - 1600 RPM,24.19 - 37.84 CFM,7.9 - 17.6 dB,No
271202,110089,120,Translucent White,1500 RPM,59.12 CFM,29.58 dB,No
271203,110090,120,Transparent,900 RPM,40.18 CFM,16 dB,No
271204,110091,120,Black / Red,500 - 1800 RPM,58.39 - 76.52 CFM,17.6 - 31.8 dB,Yes
271205,110092,120,Black,1200 RPM,39.7 CFM,24.7 dB,No
271206,110093,120,Black / White,1400 RPM,27.53 CFM,24 dB,No
271207,110094,120,Black / Red,1400 RPM,27.53 CFM,24 dB,No
271208,110095,80,Black,1800 RPM,24.7 - 42 CFM,17.5 dB,No
271209,110096,80,Black,2000 RPM,26 - 44.1 CFM,16.6 dB,Yes
271210,110097,140,Black,500 - 1700 RPM,27 - 92 CFM,9.6 - 36.4 dB,Yes
271211,110098,120,Blue,500 - 1800 RPM,20.42 - 75.98 CFM,14 - 25 dB,Yes
271212,110099,80,Black,1700 - 3000 RPM,20.6 - 36.5 CFM,20 - 34.2 dB,No
271213,110100,80,Black,4000 RPM,52 CFM,42 dB,No
271214,110101,120,Black,1200 RPM,56.12 CFM,33.8 dB,Yes
271215,110102,120,Black,800 - 1800 RPM,56.12 CFM,29.8 dB,Yes
271216,110103,120,Transparent,1000 - 1600 RPM,46.1 - 76 CFM,8 dB,No
271217,110104,92,Black,4800 RPM,102.59 CFM,53 dB,Yes
271218,110105,40,Black,9500 RPM,9.19 CFM,42 dB,No
271219,110106,40,Black,9500 RPM,15.79 CFM,41.9 dB,No
271220,110107,140,Yellow / Black,1200 RPM,65.2 CFM,23.2 dB,No
271221,110108,120,Black / Multicolor,1500 RPM,57.67 CFM,24.7 dB,No
271222,110109,120,Black / Yellow,1400 RPM,53.34 CFM,14 dB,No
271223,110110,120,Black / Red,1000 RPM,33 CFM,19 dB,No
271224,110111,120,Black / Blue,1000 RPM,33 CFM,19 dB,No
271225,110112,200,White,900 RPM,148.72 CFM,27.5 dB,No
271226,110113,120,Black / Orange,600 - 1000 RPM,21.1 - 46.3 CFM,8.9 - 19.9 dB,No
271227,110114,80,White / Blue,900 - 2200 RPM,25.13 CFM,17.8 - 24.7 dB,No
271228,110115,40,Black,4500 RPM,4.82 CFM,24.3 dB,No
271229,110116,120,Black / Gray,1200 RPM,38 CFM,22 dB,No
271230,110117,140,White,600 - 1300 RPM,40.9 - 88.6 CFM,15.22 - 19 dB,No
271231,110118,140,White / Red,600 - 1300 RPM,40.9 - 88.6 CFM,15.22 - 19 dB,No
271232,110119,140,Black,,55.4 CFM,21 dB,No
271233,110120,92,Black,2800 RPM,47.2 CFM,36 dB,No
271234,110121,140,Clear,1000 RPM,67.02 CFM,20 dB,No
271235,110122,140,Clear,1000 RPM,67.02 CFM,20 dB,No
271236,110123,120,Blue,2000 RPM,77.26 CFM,35.47 dB,No
271237,110124,80,Black,3250 RPM,37.43 CFM,,Yes
271238,110125,80,Black,2900 RPM,38.2 CFM,31.3 dB,No
271239,110126,80,White,900 - 2000 RPM,27 CFM,10 - 21.5 dB,Yes
271240,110127,140,Blue,750 - 1200 RPM,45.1 - 78.09 CFM,13.4 - 19 dB,No
271241,110128,120,Green,800 RPM,30.51 CFM,16 dB,No
271242,110129,120,White,1500 RPM,,23 dB,No
271243,110130,92,White,2000 RPM,,23 dB,No
271244,110131,120,Black,1300 - 2200 RPM,54.3 - 92 CFM,29 - 39 dB,No
271245,110132,193,Black / White,700 RPM,89.5 CFM,20.16 dB,No
271246,110133,193,Black / White,800 RPM,89.5 CFM,20 dB,No
271247,110134,140,Clear,1000 RPM,60.46 CFM,16 dB,No
271248,110135,140,Blue,800 - 1300 RPM,90.3 CFM,18 dB,No
271249,110136,140,White,800 - 1300 RPM,90.3 CFM,18 dB,No
271250,110137,200,Blue,800 RPM,76 CFM,18 dB,No
271251,110138,120,Clear,1500 RPM,61 CFM,20 dB,No
271252,110139,140,Orange,800 - 1300 RPM,90.3 CFM,18 dB,No
271253,110140,120,Black,1000 RPM,43.5 CFM,20 dB,No
271254,110141,200,Clear,900 RPM,148.72 CFM,27.5 dB,No
271255,110142,120,Clear,1500 RPM,35.36 CFM,22.4 dB,No
271256,110143,120,Clear,1200 RPM,,20 - 23 dB,No
271257,110144,120,Clear,2000 RPM,79 CFM,30 dB,No
271258,110145,92,White,1500 RPM,27 CFM,19.2 dB,No
271259,110146,80,Clear,1700 - 3000 RPM,23.38 - 41.8 CFM,19.25 - 29 dB,No
271260,110147,120,Red,1200 - 2200 RPM,87.5 CFM,38.15 dB,No
271261,110148,180,White,500 - 1300 RPM,65 - 150 CFM,17 - 36 dB,No
271262,110149,120,Blue,1200 - 1600 RPM,72.67 CFM,29.1 dB,No
271263,110150,120,Black / Green,700 - 1000 RPM,24.8 - 55.4 CFM,8.1 - 12.8 dB,No
271264,110151,120,Blue,1500 RPM,52.05 CFM,25 dB,No
271265,110152,92,Yellow,1300 RPM,32 CFM,12 dB,No
271266,110153,120,Red,1500 RPM,50.28 CFM,21.1 dB,No
271267,110154,80,Red,1500 RPM,17.21 CFM,20 dB,No
271268,110155,140,Red,1200 RPM,59.6 CFM,20.6 dB,No
271269,110156,140,Clear,1200 RPM,59.6 CFM,20.6 dB,No
271270,110157,120,Black,4500 RPM,147.69 CFM,54.9 dB,No
271271,110158,120,Clear,1500 RPM,,23 dB,No
271272,110159,92,Translucent Blue,1500 RPM,29.42 CFM,17 dB,No
271273,110160,80,Clear,2200 RPM,,,No
271274,110161,140,Black / Green,1200 RPM,71.8 CFM,17.6 - 26.7 dB,Yes
271275,110162,80,Translucent Gray,2200 RPM,34.72 CFM,19 dB,No
271276,110163,120,White,2400 RPM,88.46 CFM,34 dB,No
271277,110164,120,Black,2000 RPM,72.94 CFM,36 dB,No
271278,110165,140,Blue,1200 RPM,80 CFM,26 dB,No
271279,110166,80,Blue,1500 RPM,17.21 CFM,20 dB,No
