wireless_network_card_id,product_id,protocol,interface,color
395101,144171,802.11a/b/g/n/ac,PCIe x1,
395102,144172,802.11b/g/n,PCIe x1,
395103,144173,802.11a/b/g/n/ac,PCIe x1,
395104,144174,802.11a/b/g/n/ac,PCIe x1,
395105,144175,802.11a/b/g/n/ac,PCIe x1,
395106,144176,802.11a/b/g/n/ac,PCIe x1,
395107,144177,802.11b/g/n,USB 2.0,
395108,144178,802.11a/b/g/n/ac,PCIe x1,
395109,144179,802.11a/b/g/n/ac,PCIe x1,
395110,144180,802.11a/b/g/n/ac,USB 3.0,
395111,144181,802.11a/b/g/n/ax,PCIe x1,Black
395112,144182,802.11a/b/g/n/ac,PCIe x1,
395113,144183,802.11a/b/g/n,PCIe x1,
395114,144184,802.11b/g/n,USB 2.0,
395115,144185,802.11a/b/g/n/ac,USB 2.0,Black
395116,144186,802.11a/b/g/n,PCIe x1,
395117,144187,802.11a/b/g/n/ac,PCIe x1,Black
395118,144188,802.11a/b/g/n/ac,USB 2.0,
395119,144189,802.11a/b/g/n/ac,PCIe x1,
395120,144190,802.11a/b/g/n/ac,USB 3.0,
395121,144191,802.11a/b/g/n/ac,PCIe x1,Black
395122,144192,802.11a/b/g/n/ac,USB 3.0,Black
395123,144193,802.11a/b/g/n,USB 2.0,
395124,144194,802.11b/g/n,PCIe x1,
395125,144195,802.11b/g/n,PCIe x1,
395126,144196,802.11a/b/g/n/ac,PCIe x1,Black / Silver
395127,144197,802.11a/b/g/n,PCIe x1,Green / Black
395128,144198,802.11a/b/g/n/ac,PCIe x1,
395129,144199,802.11b/g/n,USB 2.0,
395130,144200,802.11a/b/g/n/ac,USB 2.0,Black
395131,144201,802.11a/b/g/n/ac,USB 3.0,Black
395132,144202,802.11a/b/g/n/ac,PCIe x1,Black / Orange
395133,144203,802.11b/g/n,USB 2.0,
395134,144204,802.11b/g/n,PCIe x1,
395135,144205,802.11a/b/g/n/ac,PCIe x1,Black
395136,144206,802.11a/b/g/n/ac,PCIe x1,
395137,144207,802.11a/b/g/n/ac,USB 3.0,Black
395138,144208,802.11a/b/g/n/ac,PCIe x1,Blue
395139,144209,802.11a/b/g/n/ac,PCIe x1,Red / Black
395140,144210,802.11a/b/g/n/ac,PCIe x1,Black
395141,144211,802.11b/g/n,USB 2.0,
395142,144212,802.11a/b/g/n/ac,PCIe x1,
395143,144213,802.11a/b/g/n/ac,PCIe x1,Black / Gold
395144,144214,802.11a/b/g/n/ac,USB 3.0,Black
395145,144215,802.11b/g/n,USB 2.0,
395146,144216,802.11a/b/g/n/ac,USB 3.0,
395147,144217,802.11a/b/g/n/ac,USB 2.0,
395148,144218,802.11a/b/g/n/ac,USB 2.0,Black
395149,144219,802.11a/b/g/n/ac,PCIe x1,
395150,144220,802.11a/b/g/n/ac,USB 3.0,
395151,144221,802.11g/n,USB 2.0,
395152,144222,802.11a/b/g/n/ac,USB 3.0,
395153,144223,802.11a/b/g/n/ac,PCIe x1,
395154,144224,802.11a/b/g/n/ac,USB 2.0,
395155,144225,802.11b/g/n,USB 2.0,
395156,144226,802.11a/b/g/n/ac,USB 2.0,
395157,144227,802.11a/b/g/n,USB 2.0,
395158,144228,802.11a/b/g/n/ac,USB 2.0,
395159,144229,802.11a/b/g/n,USB 2.0,Black / Gold
395160,144230,802.11b/g/n,PCIe x1,Green
395161,144231,802.11b/g/n,USB 2.0,
395162,144232,802.11a/b/g/n/ac,USB 3.0,
395163,144233,802.11b/g/n,USB 2.0,
395164,144234,802.11b/g/n,PCIe x1,
395165,144235,802.11a/b/g/n/ac,PCIe x1,
395166,144236,802.11a/b/g/n/ac,USB 3.0,Black
395167,144237,802.11b/g/n,USB 2.0,
395168,144238,802.11a/b/g/n/ac,PCIe x1,Green
395169,144239,802.11a/b/g/n/ac,USB 3.0,Black
395170,144240,802.11a/b/g/n/ac,Mini-PCIe,
395171,144241,802.11b/g/n,USB 2.0,
395172,144242,802.11b/g/n,PCIe x1,
395173,144243,802.11a/b/g/n,PCIe x1,
395174,144244,802.11a/b/g/n/ac,USB 2.0,Black
395175,144245,802.11a/b/g/n/ac,PCIe x1,
395176,144246,802.11b/g/n,PCIe x1,
395177,144247,802.11a/b/g/n/ac,PCIe x1,
395178,144248,802.11a/b/g/n/ac,USB 3.0,Black
395179,144249,802.11a/b/g/n/ac,USB 3.0,Black
395180,144250,802.11b/g/n/ac,PCIe x1,
395181,144251,802.11b/g/n,PCIe x1,
395182,144252,802.11a/b/g/n/ac,USB 2.0,
395183,144253,802.11b/g/n,USB 2.0,
395184,144254,802.11a/b/g/n/ac,USB 2.0,
395185,144255,802.11n,USB 1.0,
395186,144256,802.11a/b/g/n/ac,USB 3.0,Black
395187,144257,802.11a/b/g/n/ac,USB 2.0,
395188,144258,802.11a/b/g/n/ac,PCIe x1,Red / Black
395189,144259,802.11a/b/g/n/ac,USB 3.0,Black
395190,144260,802.11a/b/g/n/ac,USB 3.0,Black
395191,144261,802.11a/b/g/n/ac,USB 2.0,
395192,144262,802.11a/b/g/n,Half Mini-PCIe,
395193,144263,802.11a/b/g/n/ac,USB 2.0,Black
395194,144264,802.11a/b/g/n,PCIe x1,
395195,144265,802.11a/b/g/n/ac,PCIe x1,
395196,144266,802.11b/g/n,USB 2.0,
395197,144267,802.11a/g/n/ac,USB 3.0,
395198,144268,802.11a/b/g/n/ac,USB 2.0,Black
395199,144269,802.11ac,Mini-PCIe,
395200,144270,802.11a/b/g/n/ac,USB 3.0,
395201,144271,802.11a/b/g/n/ac,PCIe x1,Green / Black
395202,144272,802.11a/b/g/n/ac,PCIe x1,
395203,144273,802.11b/g/n/ac,PCIe x1,Red / Black
395204,144274,802.11b/g/n,USB 2.0,
395205,144275,802.11a/b/g/n,PCIe x1,
395206,144276,802.11b/g/n,USB 2.0,
395207,144277,802.11n,USB 2.0,
395208,144278,802.11a/b/g/n,PCIe x1,
395209,144279,802.11b/g/n,USB 2.0,
395210,144280,802.11b/g/n,PCI,
395211,144281,802.11b/g/n,USB 2.0,
395212,144282,802.11a/b/g/n,USB 2.0,
395213,144283,802.11b/g/n,USB 2.0,
395214,144284,802.11b/g/n,USB 2.0,
395215,144285,802.11a/b/g/n/ac,USB 2.0,
395216,144286,802.11a/b/g/n,USB 2.0,
395217,144287,802.11a/g/n,Half Mini-PCIe,
395218,144288,802.11a/b/g/n,PCI,
395219,144289,802.11b/g/n,PCI,
395220,144290,802.11b/g/n,PCIe x1,
395221,144291,802.11b/g/n,PCIe x1,
395222,144292,802.11a/b/g/n/ac,USB 2.0,
395223,144293,802.11b/g/n,USB 2.0,
395224,144294,802.11a/b/g/n/ac,USB 2.0,Black
395225,144295,802.11b/g/n,PCIe x1,
395226,144296,802.11g/n,PCI,
395227,144297,802.11a/b/g/n/ac,USB 3.0,
395228,144298,802.11b/g/n,PCI,
395229,144299,802.11a/b/g/n/ac,USB 3.0,Black
395230,144300,802.11b/g/n,USB 2.0,
395231,144301,802.11a/b/g/n/ac,USB 3.0,
395232,144302,802.11b/g/n,PCI,
395233,144303,802.11a/b/g/n,USB 2.0,
395234,144304,802.11a/n/ac,USB 2.0,
395235,144305,802.11b/g/n,PCIe x1,
395236,144306,802.11b/g/n,USB 2.0,
395237,144307,802.11a/b/g/n,USB 2.0,
395238,144308,802.11b/g/n,USB 2.0,
395239,144309,802.11a/b/g/n/ac,USB 3.0,Black
395240,144310,802.11a/b/g/n/ac,PCIe x1,
395241,144311,802.11a/b/g/n/ac,PCIe x1,Green / Black
395242,144312,802.11a/b/g/n/ac,USB 3.0,Black
395243,144313,802.11b/g/n,PCIe x1,
395244,144314,802.11b/g/n,USB 2.0,
395245,144315,802.11b/g/n/ac,USB 2.0,Black
395246,144316,802.11b/g/n,USB 2.0,
395247,144317,802.11a/b/g/n/ac,USB 3.0,Black
395248,144318,802.11a/b/g/n/ac,PCIe x1,
395249,144319,802.11a/b/g/n,PCIe x1,
395250,144320,802.11b/g/n,USB 2.0,
395251,144321,802.11a/b/g/n/ac,USB 2.0,
395252,144322,802.11a/b/g/n/ac,USB 2.0,
395253,144323,802.11a/b/g/n,USB 2.0,
395254,144324,802.11a/b/g/n,USB 2.0,
395255,144325,802.11a/b/g/n,USB 2.0,
395256,144326,802.11g/n,PCI,
395257,144327,802.11n,USB 2.0,
395258,144328,802.11b/g/n,PCI,
395259,144329,802.11b/g,USB 2.0,Black
395260,144330,802.11b/g/n,USB 2.0,
395261,144331,802.11b/g/n,USB 2.0,
395262,144332,802.11b/g/n,PCIe x1,
395263,144333,802.11b/g/n,USB 2.0,
395264,144334,802.11a/b/g/n,USB 2.0,
395265,144335,802.11b/g/n,PCI,
395266,144336,802.11b/g/n,USB 2.0,
395267,144337,802.11a/b/g/n,USB 2.0,
395268,144338,802.11a/g/n,PCIe x1,
395269,144339,802.11a/b/g/n,USB 2.0,
395270,144340,802.11a/b/g/n,Half Mini-PCIe,
395271,144341,802.11b/g/n,USB 2.0,
395272,144342,802.11a/b/g/n,PCIe x1,
395273,144343,802.11n,USB 2.0,
395274,144344,802.11b/g/n,USB 2.0,
395275,144345,802.11b/g,PCI,
395276,144346,802.11b/g/n,USB 2.0,
395277,144347,802.11a/b/g/n/ac,USB 2.0,Black
395278,144348,802.11b/g/n,USB 3.0,Black
395279,144349,802.11b/g/n,USB 2.0,Black
395280,144350,802.11n,USB 1.0,
395281,144351,802.11b/g/n,PCI,
395282,144352,802.11a/b/g/n/ac,USB 3.0,
395283,144353,802.11b/g/n,USB 2.0,
395284,144354,802.11a/b/g,PCI,
395285,144355,802.11a/b/g/n,USB 2.0,
395286,144356,802.11b/g/n,PCIe x1,
395287,144357,802.11b/g,PCI,
395288,144358,802.11b/g,USB 2.0,
395289,144359,802.11b/g/n,USB 2.0,
395290,144360,802.11b/g/n,USB 2.0,
395291,144361,802.11b/g/n,USB 2.0,
395292,144362,802.11a/b/g/n/ac,USB 3.0,
395293,144363,802.11a/b/g/n,USB 2.0,
395294,144364,802.11b/g/n,USB 2.0,
395295,144365,802.11ac,Mini-PCIe,
395296,144366,802.11b/g/n,PCI,
395297,144367,802.11a/b/g/n,PCIe x1,
395298,144368,802.11a/b/g/n/ac,USB 3.0,
395299,144369,802.11a/b/g/n/ac,Mini-PCIe,
395300,144370,802.11a/b/g/n/ac,USB 2.0,
395301,144371,802.11g/n,USB 2.0,
395302,144372,802.11a/g/n,USB 2.0,
395303,144373,802.11b/g/n,USB 2.0,
395304,144374,802.11b/g/n,USB 2.0,
395305,144375,802.11a/n/ac,USB 2.0,
395306,144376,802.11b/g/n,USB 2.0,
395307,144377,802.11b/g/n,USB 2.0,
395308,144378,802.11b/g/n,USB 2.0,
395309,144379,802.11b/g,USB 2.0,
395310,144380,802.11b/g,USB 2.0,
395311,144381,802.11a/b/g/n,Mini-PCIe,
395312,144382,802.11a/b/g/n/ac,USB 2.0,
395313,144383,802.11b/g/n,USB 2.0,
395314,144384,802.11b/g/n,PCIe x1,
395315,144385,802.11a/b/g/n/ac,USB 2.0,
395316,144386,802.11n,Mini-PCIe,
395317,144387,802.11a/b/g/n,USB 2.0,
395318,144388,802.11a/b/g/n/ac,USB 3.0,
395319,144389,802.11a/b/g/n,USB 2.0,
395320,144390,802.11b/g/n,PCI,
395321,144391,802.11b/g/n,USB 2.0,
395322,144392,802.11a/b/g/n/ac,USB 3.0,
395323,144393,802.11b/g/n,USB 2.0,
395324,144394,802.11a/b/g/n,USB 2.0,
395325,144395,802.11a/b/g/n,USB 2.0,
395326,144396,802.11a/b/g/n/ac,USB 2.0,White / Red
395327,144397,802.11a/b/g/n,Mini-PCIe,
395328,144398,802.11b/g/n,PCI,
395329,144399,802.11a/b/g/n,USB 2.0,
395330,144400,802.11b/g/n,USB 2.0,
395331,144401,802.11a/g/n,Mini-PCIe,
395332,144402,802.11b/g,USB 2.0,
395333,144403,802.11n,USB 2.0,
395334,144404,802.11b/g/n,PCI,
395335,144405,802.11a/b/g/n/ac,USB 2.0,Black
395336,144406,802.11a/b/g/n/ac,USB 2.0,
395337,144407,802.11a/b/g/n/ac,USB 2.0,Black
395338,144408,802.11a/b/g/n,USB 2.0,
395339,144409,802.11a/b/g/n,Mini-PCIe,
395340,144410,802.11a/b/g/n,Half Mini-PCIe,
395341,144411,802.11a/b/g/n/ac,USB 2.0,
395342,144412,802.11a/b/g/n/ac,USB 2.0,
395343,144413,802.11b/g,USB 2.0,
395344,144414,802.11a/b/g/n,USB 2.0,
395345,144415,802.11a/b/g/n,Mini-PCIe,
395346,144416,802.11b/g/n,USB 2.0,
395347,144417,802.11b/g/n,PCI,
395348,144418,802.11b/g/n,USB 2.0,
395349,144419,802.11a/b/g/n/ac,USB 2.0,
395350,144420,802.11n,Mini-PCIe,
395351,144421,802.11a/b/g/n,USB 2.0,
395352,144422,802.11n,Mini-PCIe,
395353,144423,802.11n,USB 1.0,
395354,144424,802.11n,Mini-PCIe,
395355,144425,802.11a/b/g/n/ac,USB 3.0,
395356,144426,802.11a/b/g/n,USB 2.0,
395357,144427,802.11a/b/g/n,USB 2.0,
395358,144428,802.11b/g/n,USB 2.0,
395359,144429,802.11g/n,USB 2.0,
395360,144430,802.11b/g/n,USB 2.0,
395361,144431,802.11a/b/g/n,USB 2.0,
395362,144432,802.11a/b/g/n,USB 2.0,
395363,144433,802.11a/b/g/n,USB 2.0,
395364,144434,802.11b/g/n,PCI,
395365,144435,802.11b/g/n,USB 2.0,
395366,144436,802.11a/b/g/n,USB 2.0,
395367,144437,802.11b/g/n,USB 2.0,
395368,144438,802.11b/g/n,USB 2.0,
395369,144439,802.11b/g/n,USB 2.0,
395370,144440,802.11a/b/g/n,USB 2.0,
395371,144441,802.11b/g/n,PCIe x1,
395372,144442,802.11n,Mini-PCIe,
395373,144443,802.11b/g/n,USB 2.0,
395374,144444,802.11b/g/n,USB 2.0,
395375,144445,802.11a/b/g/n,USB 1.0,
395376,144446,802.11b/g/n,USB 2.0,
395377,144447,802.11a/b/g/n,USB 2.0,
395378,144448,802.11b/g/n,PCI,
395379,144449,802.11a/b/g/n,USB 2.0,
395380,144450,802.11b/g/n,USB 2.0,
395381,144451,802.11n,Mini-PCIe,
395382,144452,802.11a/b/g/n,PCIe x1,
395383,144453,802.11a/b/g/n,USB 1.0,
395384,144454,802.11n,USB 2.0,
395385,144455,802.11b/g/n,USB 2.0,
395386,144456,802.11a/b/g/n/ac,USB 2.0,
395387,144457,802.11b/g/n,USB 2.0,
395388,144458,802.11b/g/n,USB 2.0,
395389,144459,802.11a/b/g/n,USB 2.0,
395390,144460,802.11b/g/n,USB 2.0,
395391,144461,802.11b/g/n,USB 2.0,
395392,144462,802.11b/g/n,USB 2.0,
395393,144463,802.11b/g/n,USB 2.0,
395394,144464,802.11a/b/g/n,USB 2.0,
395395,144465,802.11b/g/n,USB 2.0,
395396,144466,802.11b/g/n,PCI,
395397,144467,802.11b/g/n,USB 2.0,
395398,144468,802.11b/g/n,PCIe x1,
395399,144469,802.11b/g/n,USB 2.0,Black
395400,144470,802.11b/g,PCI,
395401,144471,802.11b/g/n,USB 2.0,
395402,144472,802.11a/b/g/n/ac,USB 3.0,
395403,144473,802.11b/g/n,USB 2.0,
